,track,lyric-count
0,Love is Heartbreak,178.0
1,Thought We Were Falling In Love,187.0
2,Garden of the Sun,163.0
3,better.,275.0
4,I'LL DO ANYTHING,275.0
5,Motels,275.0
6,Hard Times for Heatherhead,154.0
7,Mean Streets,223.0
8,How Many Times Have You Driven By,89.0
9,What Was Mine,241.0
10,Slugger,442.0
11,Mystic,275.0
12,Everyone Adores You (at least I do),111.0
13,Witching Hour,197.0
14,The Hustle,270.0
15,Baby Don't Believe,321.0
16,Timothy,269.0
17,The Bend,312.0
18,Smile For The Camera,172.0
19,Heels To The Moon,125.0
20,I Know The End,326.0
21,CooCool,275.0
22,Life in a Bubble I Blew - bonus track,275.0
23,This Is What They Meant,256.0
24,Independent,275.0
25,Elephant in the Room,280.0
26,Bad Habit,376.0
27,Always,276.0
28,Baby Don't Cry,249.0
29,Future Starts Slow,249.0
30,Train in Vain (Stand by Me) - Remastered,275.0
31,Old School,284.0
32,Wait a Minute!,304.0
33,Home Again,109.0
34,Places And Spaces,171.0
35,Little Dark Age,355.0
36,Angel,275.0
37,Lost Ones,275.0
38,Re-Hash,275.0
39,Tripping Out,371.0
40,Happy House,75.0
41,Them Changes,155.0
42,Driving Under Stars,217.0
43,Sixteen Days,236.0
44,America's Cup,255.0
45,Freakin,384.0
46,Be Thankful for What You've Got - David Todd Remix (Radio Edit),275.0
47,Where Are We Going?,183.0
48,The Silence That You Keep,218.0
49,Tasmania,226.0
50,90% of Me Is You,162.0
51,Shibuya (feat. Syd),275.0
52,I Like the Way You Do Your Thing,275.0
53,Night Whistler,6.0
54,Get No Lovin' Tonight,145.0
55,Colder Than Ice,377.0
56,A Day In The Life - Remastered 2009,275.0
57,Dancing in the Moonlight,235.0
58,Billie Jean,482.0
59,Girls Just Want to Have Fun,353.0
60,Hotel California - 2013 Remaster,275.0
61,Play That Funky Music,454.0
62,Come Together - Remastered 2009,275.0
63,Sir Duke,275.0
64,Intergalactic - Remastered 2009,275.0
65,Take Five,275.0
66,Insane in the Brain,487.0
67,Linus And Lucy,275.0
68,One Nation Under a Groove,645.0
69,Mood Indigo,135.0
70,Reptilia,191.0
71,A Horse with No Name,275.0
72,"Shook Ones, Pt. II",830.0
73,California Soul,180.0
74,Big Poppa - 2005 Remaster,275.0
75,Jump Around,513.0
76,California Love,587.0
77,Birdland,275.0
78,Pusherman,302.0
79,Hypnotize - 2007 Remaster,275.0
